Code RNCP,Certification active ?,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collective,uuid (from Conventions collectives),Filière,uuid (from Domaines),Certificateurs
5859,checked,4770f07c-3d2c-4c4e-992f-739543fa77f1,Bac Professionnel Réparation des carrosseries - RC,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
13905,checked,da929b9d-6463-4682-a3f5-e95307f67d49,Bac Professionnel Services aux personnes et territoires - SPAT,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,Ministère de l'Agriculture et de la Souveraineté alimentaire
35185,checked,e37fbaf6-42a0-4770-95eb-b8f421d52a88,Bac Professionnel Technicien conseil vente en alimentation (produits alimentaires et boissons)- TCVA ,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Agriculture et de la Souveraineté alimentaire
29885,checked,59303b8f-6ed5-4cb0-83de-825d366bdd60,Bac Professionnel Technicien en chaudronnerie industrielle - TCI,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
35697,checked,68d9d6ee-50f4-49a3-be4a-39f37bd71013,Bac Professionnel Technicien en réalisation de produits mécaniques - TRPM,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37310,checked,bf78b4d6-f6ac-4c8f-9e6b-d6c6ae9e891b,BP Boucher,,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
37491,checked,de047e9e-fc5d-4a74-9c04-6c20a84e2bb1,BP Boulanger,,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
27774,checked,38afc48c-7adb-4cae-b7fd-7383d682953c,BP Electricien,,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
32231,checked,c051e8ad-f0f6-4132-9677-88b706489c8f,BP Métallier,,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
36248,checked,a3b5b9a2-00bd-403d-a158-c468959a02a3,"Brevet Professionnel de la Jeunesse de l'Education Populaire et du Sport spécialité éducateur sportif, mention activités aquatiques et de la natation - BPJEPS",,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Sport,24ebe074-78fc-41c7-8b56-fec2446e6253,Ministère des Sports et des Jeux Olympiques et paralympiques
37106,checked,6f11a3aa-a4d7-4d88-978a-4e7a6eb88527,"Brevet Professionnel de la Jeunesse de l'Education Populaire et du Sport spécialité éducateur sportif, mention activités de la forme - BPJEPS",,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Sport,24ebe074-78fc-41c7-8b56-fec2446e6253,Ministère des Sports et des Jeux Olympiques et paralympiques
37108,checked,6017130c-6528-44ce-b4a2-4beb2a8a1b28,"Brevet Professionnel de la Jeunesse de l'Education Populaire et du Sport spécialité éducateur sportif, mention sports de contact et disciplines associées - BPJEPS ",,Brevet Professionnel (BP),81d99804-1f46-4ced-924a-5479b58fd541,4,,,Sport,24ebe074-78fc-41c7-8b56-fec2446e6253,Ministère des Sports et des Jeux Olympiques et paralympiques
37561,checked,6fbd4906-4e0b-4bb8-a0ed-a6e1407c66ab,BTS Assistance technique d'ingénieur - ATI,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
37464,checked,61024a16-24f4-4cfb-ad50-d4f62667e030,BTS Conception des processus de réalisation de produits - CPRP,,BTS,7d875230-4ce1-47f9-907f-bc876329f1d5,5,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
