Code RNCP,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collectives,uuid (from Conventions collectives),Domaines,uuid (from Domaines),date,Last Modified,Created By,Last Modified By
35506,d37cf5c1-da1a-420f-b624-2b9cf4b54712,Titre professionnel Assistant de vie aux familles - ADVF,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,18/5/2023 11:32am,Aurélie Favart,Vincent Tournebise
35233,7016b741-b611-4603-9a12-693638f13b0d,Titre professionnel Assistant manager d'unité marchande - AMUM,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:04pm,Aurélie Favart,Vincent Tournebise
34857,032036b5-528e-4d06-bbe0-a7d180602bc1,Titre professionnel Cariste d'entrepôt - CE ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:04pm,Aurélie Favart,Vincent Tournebise
34858,e72abf9e-e7e4-4c97-9337-ba45078a10c4,Titre professionnel Chaudronnier,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,10/5/2023 09:32,12/5/2023 2:04pm,Aurélie Favart,Vincent Tournebise
34135,951c6243-6079-41b0-b561-07eddf15e223,Titre professionnel Chaudronnier formeur aéronautique - CFA,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:04pm,Aurélie Favart,Vincent Tournebise
37121,9e2073e9-41ed-44a0-8dd2-c215437e29ee,Titre professionnel Comptable assistant - CA,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:05pm,Aurélie Favart,Vincent Tournebise
184,a7cf4381-a36c-47e4-9968-74f98c79fbf0,Titre professionnel Conducteur d'installation et de machines automatisées - CIMA,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,3,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,2/5/2023 17:59,12/5/2023 2:05pm,Aurélie Favart,Vincent Tournebise
31005,2bfa316b-5bd2-48f9-9062-afb066bb9e56,Titre professionnel Conseiller commercial - CC,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,10/5/2023 09:32,12/5/2023 2:05pm,Aurélie Favart,Vincent Tournebise
37098,b41e5179-ca2c-4d6b-a1ad-de4be14231ab,Titre professionnel Conseiller de vente - CV ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,19/4/2023 11:42,12/5/2023 2:05pm,Cédric Soulas,Vincent Tournebise
37274,37c0d786-3a75-40a9-b5a8-bed5d8053888,Titre professionnel Conseiller en insertion professionnelle  - CIP ,,Titre Professionnel (TP),47044c6b-b48f-4eb9-9820-e952c092685d,5,,,Social,43062959-9315-4c1b-82b6-fdb9af494b0c,10/5/2023 09:32,12/5/2023 2:05pm,Aurélie Favart,Vincent Tournebise
