id,idcc,label
bcff343b-e065-419e-9fd9-285afdc59922,1182,"Convention collective nationale des personnels des ports de plaisance"
8bad9b5a-1b94-4575-94ee-1901e3ca792a,1194,"Convention collective nationale des employés de l'édition de musique (annexée à la convention collective nationale de l'édition 2121)"
a58b0eb4-b046-4dcd-8de3-ff082165b4cc,1203,"Convention collective départementale du commerce et des services de la Guadeloupe"
9643c3e4-60e4-40bf-8173-9e3d94206420,1225,"Convention collective départementale du commerce de la Réunion"
9af8e30c-e8d8-47cb-8fb3-b598062d182f,1232,"Convention collective départementale des hôtels de la Guadeloupe"
61df8845-4368-496a-a028-6d0558a7d390,1247,"Convention collective départementale auto moto de la Réunion"
6ede865c-3a07-4b4f-a32a-fb847923e8c8,1256,"Convention collective nationale des cadres, ingénieurs et assimilés des entreprises de gestion d'équipements thermiques et de climatisation"
e1d6da63-089d-4e48-bae8-f058c28a4361,1257,"Convention collective départementale des employés, agents de maîtrise et cadres de la pharmacie d'officine de la Réunion"
f29fdbac-abaa-4f69-96a5-37f1e173d7c7,1261,"Convention collective nationale des acteurs du lien social et familial : centres sociaux et socioculturels, associations d'accueil de jeunes enfants, associations de développement social local (SNAECSO)"
bc5b2313-07a2-49c8-a86b-070a6050a7a7,1266,"Convention collective nationale du personnel des entreprises de restauration de collectivités"
8a203837-4983-40f9-b89f-ad120f677730,1267,"Convention collective nationale de la pâtisserie"
130b9e42-6fa0-4b6b-b31b-569590dcb942,1274,"Convention collective départementale des industries métallurgiques de la Corrèze"
fcf5c7ac-2fdc-4f3f-8d09-30b88f22d07d,1278,"Convention collective nationale des personnels PACT et ARIM -centres pour la protection l'amélioration et la conservation de l'habitat et associations pour la restauration immobilière- (annexée à la convention collective nationale de l'habitat et du logement accompagnés 2336)"
fdeed6b2-96d9-4afd-b1ff-3805be94a7c9,1285,"Convention collective nationale pour les entreprises artistiques et culturelles (SYNDEAC)"
bd2b748f-e2c9-4ac5-800f-8c6ab7895003,1286,"Convention collective nationale des détaillants, détaillants-fabricants et artisans de la confiserie, chocolaterie, biscuiterie"
697092d7-c1fc-4f17-a031-92d0df4e93d0,1307,"Convention collective nationale de l'exploitation cinématographique"
71b2066c-a302-4758-af0c-8356bddaa3eb,1311,"Convention collective nationale de la restauration ferroviaire"
0159b269-50a2-46fa-8524-da4b8536b681,1315,"Convention collective régionale des industries métallurgiques, mécaniques et connexes de la Haute-Marne et de la Meuse"
95b6ad42-e531-496b-8847-29c404338080,1316,"Convention collective nationale des organismes de tourisme social et familial"
84a37b20-585d-49da-9ead-a2677bd24428,1341,"Convention collective départementale des industries agroalimentaires de la Réunion"
b427fd07-7dc1-41d8-81f9-1e26dbecd304,1351,"Convention collective nationale des entreprises de prévention et de sécurité"
4603a386-625f-4c48-b24d-549f4e54913c,1353,"Convention collective départementale des industries métallurgiques et connexes de la Dordogne"
1ff5c51a-bc7e-4cff-b6fb-abde426711d9,1365,"Convention collective départementale de travail des industries de transformation des métaux de Meurthe-et-Moselle (métallurgie)"
a5ae0a22-4753-43d5-8f34-bff1877c4532,1369,"Convention collective départementale des industries métallurgiques, électriques, électroniques et connexes de Loire-Atlantique"
5d340529-18e8-41b7-b5ad-302f23b68c27,1387,"Convention collective locale des mensuels des industries métallurgiques des Flandres"
1a82bfde-4966-4dd0-8ff9-4fca2e2c3e9a,1388,"Convention collective nationale de l'industrie du pétrole"
29f3b849-4219-453c-8613-e5c3604163ae,1391,"Convention collective régionale concernant le personnel de l'industrie, de la manutention et du nettoyage sur les aéroports ouverts à la circulation publique de la région parisienne (annexée à la convention collective nationale du personnel au sol des entreprises de transport aérien 0275)"
a2f64afd-2be4-44be-bcc4-3fea102e77d0,1396,"Convention collective nationale pour les industries de produits alimentaires élaborés"
6e744c7a-c300-4354-b935-8ca8df583c42,1404,"Convention collective nationale des entreprises de commerce, de location et de réparation de tracteurs, machines et matériels agricoles, de matériels de travaux publics, de bâtiment et de manutention, de matériels de motoculture de plaisance, de jardins et d'espaces verts (SEDIMA)"
8ea5b122-5928-47ed-8a38-78ae34abf085,1405,"Convention collective nationale des entreprises d'expédition et d'exportation de fruits et légumes"
7538ebd5-4d62-4cc7-86ef-1e86c3fec730,1408,"Convention collective nationale des entreprises du négoce et de distribution de combustibles solides, liquides, gazeux et produits pétroliers"
789b28ce-c3ca-42c8-9932-55293582aa6d,1411,"Convention collective nationale de la fabrication de l'ameublement"
3571b4e5-9b6b-4ccd-9bb1-c5fad476b330,1412,"Convention collective nationale des entreprises d'installation sans fabrication, y compris entretien, réparation, dépannage de matériel aéraulique, thermique, frigorifique et connexes"
f1978ba2-2a31-4895-a7dd-1527ed7df526,1413,"Accord national professionnel relatif aux salariés permanents des entreprises de travail temporaire"
0757014f-dfbe-4e79-befc-d921be1e824f,1424,"Convention collective nationale des réseaux de transports publics urbains de voyageurs"
7e24b3cc-f410-4710-b249-9d7c7bcfb58a,1431,"Convention collective nationale de l'optique-lunetterie de détail"
58061af8-2629-4a5e-891a-6e06515f4aeb,1468,"Convention collective nationale de branche du Crédit mutuel"
80fe72c0-0c22-4f4c-a87a-79f3cb649816,1472,"Convention collective départementale des industries métallurgiques du Pas-de-Calais"
2e751da2-3dfd-4f0a-abbf-e3c893dba5c8,1480,"Convention collective nationale de travail des journalistes"
